PyTorch Version: 1.9.0
CUDA device available: True
Using CUDA device: cuda:0
Output Path: ./output
Epoch: 005/200 | Batch 0700/1017 | Cost: 8.7577
Epoch: 005/200 | Batch 0750/1017 | Cost: 7.3251
Epoch: 005/200 | Batch 0800/1017 | Cost: 7.8376
Epoch: 005/200 | Batch 0850/1017 | Cost: 7.8425
Epoch: 005/200 | Batch 0900/1017 | Cost: 5.4440
Epoch: 005/200 | Batch 0950/1017 | Cost: 9.2166
Epoch: 005/200 | Batch 1000/1017 | Cost: 7.4489
Epoch: 006/200 | Batch 0000/1017 | Cost: 8.0662
Epoch: 006/200 | Batch 0050/1017 | Cost: 10.8454
Epoch: 006/200 | Batch 0100/1017 | Cost: 6.5028
Epoch: 006/200 | Batch 0150/1017 | Cost: 5.4719
Epoch: 006/200 | Batch 0200/1017 | Cost: 13.0181
Epoch: 006/200 | Batch 0250/1017 | Cost: 6.1819
Epoch: 006/200 | Batch 0300/1017 | Cost: 8.6379
Epoch: 006/200 | Batch 0350/1017 | Cost: 7.0283
Epoch: 006/200 | Batch 0400/1017 | Cost: 6.5099
Epoch: 006/200 | Batch 0450/1017 | Cost: 6.5414
Epoch: 006/200 | Batch 0500/1017 | Cost: 6.0371
Epoch: 006/200 | Batch 0550/1017 | Cost: 11.7028
Epoch: 006/200 | Batch 0600/1017 | Cost: 7.2162
Epoch: 006/200 | Batch 0650/1017 | Cost: 8.4886
Epoch: 006/200 | Batch 0700/1017 | Cost: 8.0246
Epoch: 006/200 | Batch 0750/1017 | Cost: 10.0370
Epoch: 006/200 | Batch 0800/1017 | Cost: 5.4193
Epoch: 006/200 | Batch 0850/1017 | Cost: 4.5726
Epoch: 006/200 | Batch 0900/1017 | Cost: 7.3414
Epoch: 006/200 | Batch 0950/1017 | Cost: 13.2063
Epoch: 006/200 | Batch 1000/1017 | Cost: 7.5555
Epoch: 007/200 | Batch 0000/1017 | Cost: 8.3400
Epoch: 007/200 | Batch 0050/1017 | Cost: 7.3621
Epoch: 007/200 | Batch 0100/1017 | Cost: 10.9821
Epoch: 007/200 | Batch 0150/1017 | Cost: 5.7282
Epoch: 007/200 | Batch 0200/1017 | Cost: 6.3347
Epoch: 007/200 | Batch 0250/1017 | Cost: 7.0716
Epoch: 007/200 | Batch 0300/1017 | Cost: 5.0644
Epoch: 007/200 | Batch 0350/1017 | Cost: 5.8686
Epoch: 007/200 | Batch 0400/1017 | Cost: 9.4943
Epoch: 007/200 | Batch 0450/1017 | Cost: 5.1164
Epoch: 007/200 | Batch 0500/1017 | Cost: 7.3880
Epoch: 007/200 | Batch 0550/1017 | Cost: 5.0097
Epoch: 007/200 | Batch 0600/1017 | Cost: 6.1331
Epoch: 007/200 | Batch 0650/1017 | Cost: 4.0082
Epoch: 007/200 | Batch 0700/1017 | Cost: 9.9104
Epoch: 007/200 | Batch 0750/1017 | Cost: 6.0524
Epoch: 007/200 | Batch 0800/1017 | Cost: 2.8113
Epoch: 007/200 | Batch 0850/1017 | Cost: 8.2099
Epoch: 007/200 | Batch 0900/1017 | Cost: 7.4921
